yes
---------------------------------------------------------------
|         size           |    fp16_time     |    fp32_time    |
---------------------------------------------------------------
| [4096],[4048],[4096]   |     0.0       |      0.0079     |
| [4096],[4056],[4096]   |     0.005       |      0.0081     |
| [4096],[4080],[4096]   |     0.005       |      0.0081     |
| [4096],[4096],[4096]   |     0.0051       |      0.0082     |
| [4096],[4104],[4096]   |     0.0051       |      0.0083     |
| [4096],[4128],[4096]   |     0.0051       |      0.0083     |
| [4096],[4144],[4096]   |     0.0051       |      0.0084     |
| [4096],[5096],[4096]   |     0.0052       |      0.0102     |
| [4096],[5104],[4096]   |     0.0064       |      0.0103     |
| [4096],[5112],[4096]   |     0.0064       |      0.0103     |
| [4096],[5120],[4096]   |     0.0064       |      0.0103     |
| [4096],[9728],[4096]   |     0.0064       |      0.0177     |
| [4096],[16384],[4096]   |     0.0104       |      0.0124     |
---------------------------------------------------------------
