---------------------------------------------------------------
|         size           |    fp16_time     |    fp32_time    |
---------------------------------------------------------------
| [4096],[4048],[4096]   |     0.0       |      0.0     |
| [4096],[4056],[4096]   |     0.0061       |      0.0032     |
| [4096],[4080],[4096]   |     0.0062       |      0.0032     |
| [4096],[4096],[4096]   |     0.0062       |      0.0032     |
| [4096],[4104],[4096]   |     0.0062       |      0.0032     |
| [4096],[4128],[4096]   |     0.0063       |      0.0032     |
| [4096],[4144],[4096]   |     0.0063       |      0.0032     |
| [4096],[5096],[4096]   |     0.0063       |      0.004     |
| [4096],[5104],[4096]   |     0.0078       |      0.004     |
| [4096],[5112],[4096]   |     0.0078       |      0.004     |
| [4096],[5120],[4096]   |     0.0078       |      0.004     |
| [4096],[9728],[4096]   |     0.0078       |      0.0074     |
| [4096],[16384],[4096]   |     0.0147       |      0.0333     |
---------------------------------------------------------------
